mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.3461922645568848,0.30467960173133485,0.0012703418731689453,0.0004447601147823645,0.0001,{'model__alpha': 0.0001},-13.378804072003659,-38.04223540921519,-9537.592043237197,-70.28932068674727,-37.18105951520098,-1939.2966925840724,3799.1907795673137,25,-1.4404324749916513,-1.6540568902851949,-7.15803089981683,-38.29176068846063,-39.31007140189602,-17.570870471090064,17.45801455469333
0.3215341567993164,0.28667728397272024,0.0012946128845214844,0.00038012278701695697,0.00019573417814876596,{'model__alpha': 0.00019573417814876596},-13.302496569054615,-38.03319583768871,-9535.905282941232,-70.29587651389598,-37.17992815694705,-1938.9433560037637,3798.52419273549,24,-1.4404952475075063,-1.654067695917651,-7.158035614660355,-38.29176371492544,-39.31007606840394,-17.570887668282978,17.458002302713826
0.305066442489624,0.26686894223527163,0.0011607170104980468,0.0003693286362993427,0.0003831186849557289,{'model__alpha': 0.0003831186849557289},-13.163738632878355,-38.01561971346674,-9532.618489351926,-70.3113285689631,-37.17776294671147,-1938.257387842789,3797.224014888726,23,-1.4407210177194718,-1.6541094801011735,-7.158053635973465,-38.29177509979951,-39.31009419264901,-17.570950685248526,17.45795803002125
0.2503626346588135,0.2268972021596252,0.0008809566497802734,6.62611514997568e-05,0.0007498942093324559,{'model__alpha': 0.0007498942093324559},-12.882554130034483,-37.98158005146372,-9526.16028425621,-70.343424046517,-37.173604009834605,-1936.9082892988122,3794.669940596518,22,-1.441586708853723,-1.6542709674036693,-7.158122468069139,-38.29181819702644,-39.31016484214118,-17.57119263669883,17.457788229390093
0.20685052871704102,0.17102733201862735,0.0008264541625976563,9.049253726620817e-05,0.0014677992676220704,{'model__alpha': 0.0014677992676220704},-12.314220699305602,-37.91618083223874,-9513.402859423086,-70.40758911133237,-37.16527580382674,-1934.2412251739577,3789.6257372726786,21,-1.44490891440675,-1.6548961533950013,-7.158385313807372,-38.291982028984634,-39.310422711743456,-17.572119024467444,17.45713212291281
0.2046511650085449,0.18017725973577206,0.0014519691467285156,0.000690113769077412,0.0028729848333536655,{'model__alpha': 0.0028729848333536655},-11.303857466828433,-37.80789695402744,-9488.089201359711,-70.53298421423753,-37.14027634153105,-1928.9748432672673,3779.603907274504,20,-1.454683090468475,-1.6572441711686883,-7.159388721953433,-38.29260706122488,-39.31109458575163,-17.57500352611342,17.455094249928223
0.18076586723327637,0.15893488662393415,0.001238393783569336,0.0005056442336278324,0.005623413251903491,{'model__alpha': 0.005623413251903491},-10.12736993866363,-37.34802542177553,-9438.254484013842,-70.63325045022232,-37.098366634713074,-1918.6922992918433,3759.8300438104693,19,-1.4889832420480904,-1.6628071287495623,-7.163211804154561,-38.29497960447409,-39.31388616324147,-17.584773588533558,17.44854950623208
0.13180360794067383,0.11287548644227866,0.0012624740600585937,0.0005230028206137543,0.011006941712522103,{'model__alpha': 0.011006941712522103},-7.978475313560534,-36.202167422258874,-9284.850132046282,-69.34277936094887,-37.0508194820853,-1887.0848747250268,3698.9336514662764,18,-1.5573653589455612,-1.67368296715231,-7.172558624714824,-38.30375754440946,-39.323952279918146,-17.60626335502806,17.437435115646537
0.1218040943145752,0.1113816170811041,0.0010674476623535156,0.0004377867736300031,0.021544346900318846,{'model__alpha': 0.021544346900318846},-7.050786752688518,-34.36235265131123,-8964.252087384515,-68.19584292705319,-37.054280704722956,-1822.1830700840578,3571.08706024531,16,-1.6180626035519887,-1.6988950248618953,-7.2050322118745855,-38.33545840138251,-39.35978913704104,-17.643447475742402,17.43422517738441
0.0877960205078125,0.08084408577323864,0.0011251449584960937,0.0003375243717572115,0.042169650342858224,{'model__alpha': 0.042169650342858224},-6.0706020904574975,-32.349758744731396,-8346.585029546366,-68.61293395364683,-36.9945448617136,-1698.122573839383,3324.2906000134494,14,-1.7187229405249447,-1.7515419035343565,-7.324443480807715,-38.44543467495843,-39.4774404016265,-17.74351668029039,17.44721872953636
0.06867828369140624,0.06900145696299105,0.0010184288024902345,0.00033288054950487864,0.0825404185268019,{'model__alpha': 0.0825404185268019},-5.118792985980727,-29.98554309532146,-9016.57343249258,-68.91478911187451,-37.07657333864198,-1831.5338262048795,3592.5774852089917,17,-1.8050666799853237,-1.850524263802203,-7.6146402638961845,-38.72550182883727,-39.81114252798853,-17.9613751129019,17.528274493890716
0.021406173706054688,0.0171655009204591,0.0011852741241455077,0.0004640072127723684,0.16155980984398746,{'model__alpha': 0.16155980984398746},-4.2356476513385,-27.138503100028746,-8768.754906767395,-71.20745978958949,-36.85662113396373,-1781.6386276884634,3493.624621178176,15,-2.018866598675433,-1.9831091043417397,-8.103233833529114,-39.07155435495294,-40.225867626434244,-18.28052630358669,17.592552509256006
0.009315681457519532,0.004618957868487421,0.0011350631713867188,0.0004362987663628327,0.31622776601683794,{'model__alpha': 0.31622776601683794},-4.149723584279861,-25.87241415115604,-6880.069643927438,-69.32123202397447,-35.8086537899495,-1403.0443334953595,2738.59327361476,13,-2.3583090035994014,-2.0416922111464757,-8.589946775265917,-39.27210062920691,-40.51803178349873,-18.556016080543486,17.58350043407535
0.007993268966674804,0.0030871607721748595,0.0013463497161865234,0.0005332330528626177,0.618965818891261,{'model__alpha': 0.618965818891261},-4.2060698539133,-24.83479839561739,-3647.928436301633,-66.19113076426288,-34.62267488257835,-755.556622039601,1446.3241188946174,12,-2.6731389177427873,-2.1693702498134155,-9.25677358982964,-39.852945241996004,-41.35902114568466,-19.062249829013304,17.77368126258502
0.006797599792480469,0.0038067497535471894,0.0011476993560791016,0.000499492383485506,1.2115276586285901,{'model__alpha': 1.2115276586285901},-2.2891924015637786,-24.144339987751195,-2891.626727783965,-60.49123415036383,-32.59468657904087,-602.229236180537,1144.85061565596,11,-2.993610624324904,-2.531358321231487,-9.535974613773268,-41.51967523586825,-42.78001553631121,-19.872126866301823,18.361973321961305
0.005185413360595703,0.0023126708030458414,0.0007946491241455078,0.00013711535190378605,2.371373705661655,{'model__alpha': 2.371373705661655},-1.5490753101473347,-29.814466444713158,-2658.0684339101617,-57.377958458537556,-30.147669132742912,-555.3915206512605,1051.4867100831782,10,-3.7579973672856384,-3.266771315471262,-9.940973221826713,-42.74809944277469,-43.26017045679384,-20.594802360830425,18.44846996446625
0.005764627456665039,0.00458813079502005,0.0007463455200195313,0.00010741444702232515,4.641588833612782,{'model__alpha': 4.641588833612782},-1.6132719161063938,-44.14587881559083,-1775.944664816433,-54.0530916615009,-28.614461608413126,-380.87427376360887,697.7600412475842,9,-5.56560659512233,-5.121270431079463,-10.818521987296414,-43.27588686420186,-44.01870872150396,-21.759998919840807,17.984466308589624
0.00535893440246582,0.0018927659352492776,0.0013113975524902343,0.0005178491625621883,9.08517575651688,{'model__alpha': 9.08517575651688},-2.1185161572553937,-44.14587881559083,-163.07191756670898,-49.37723819299059,-26.318038137196492,-57.00631777394845,55.548080935760886,1,-6.920620590235367,-5.121270431079463,-13.555831881375248,-45.08184163413433,-45.9031957008304,-23.316552047530962,18.325123748155967
0.004103612899780273,0.0013978746580182758,0.0011383533477783204,0.0005806787275940817,17.78279410038923,{'model__alpha': 17.78279410038923},-2.1185161572553937,-44.14587881559083,-368.39706632190456,-47.34906927558526,-26.161229738830624,-97.63435206183333,136.33323585372503,2,-6.920620590235367,-5.121270431079463,-20.55880266918214,-49.59468227559153,-49.63166132245226,-26.36540745770815,19.718253122227754
0.0030179500579833986,0.0017112127837961334,0.0008840084075927735,0.0004356734949401723,34.80700588428413,{'model__alpha': 34.80700588428413},-2.1185161572553937,-44.14587881559083,-466.37619057542946,-66.78237630260281,-28.194159765654405,-121.52342432330656,173.7096318549782,3,-6.920620590235367,-5.121270431079463,-24.553868651836694,-58.89974071178578,-58.28861664780711,-30.756823406548882,23.722757943697577
0.0034036636352539062,0.0016722712993995457,0.0008263587951660156,0.0002882656323967977,68.12920690579622,{'model__alpha': 68.12920690579622},-2.1185161572553937,-44.14587881559083,-466.37619057542946,-122.7387364841102,-35.97921187391033,-134.27170678125924,170.68974355466116,4,-6.920620590235367,-5.121270431079463,-24.553868651836694,-83.14262654109886,-82.62943788807485,-40.47356482046505,35.28962446222349
0.004267740249633789,0.0018986187434564432,0.0009515285491943359,0.00047679683991687133,133.3521432163324,{'model__alpha': 133.3521432163324},-2.1185161572553937,-44.14587881559083,-466.37619057542946,-239.71987836066347,-56.10776118675481,-161.6936450191388,172.82917844595775,5,-6.920620590235367,-5.121270431079463,-24.553868651836694,-141.61179899616087,-141.31110810009116,-63.90373335388072,63.688790333211976
0.0032152175903320313,0.000934916810221071,0.0006993770599365235,3.1560208571350555e-05,261.01572156825387,{'model__alpha': 261.01572156825387},-2.1185161572553937,-44.14587881559083,-466.37619057542946,-383.901893928854,-94.67281376750363,-198.24305864892668,189.36850433964318,6,-6.920620590235367,-5.121270431079463,-24.553868651836694,-217.30051870833432,-248.7164634229518,-100.52254836088753,108.84162423416025
0.003912210464477539,0.0015180236936609137,0.0010222434997558595,0.0006219673248862359,510.89697745069344,{'model__alpha': 510.89697745069344},-2.1185161572553937,-44.14587881559083,-466.37619057542946,-383.901893928854,-94.67281376750363,-198.24305864892668,189.36850433964318,6,-6.920620590235367,-5.121270431079463,-24.553868651836694,-217.30051870833432,-248.7164634229518,-100.52254836088753,108.84162423416025
0.0024235725402832033,0.0003153886684294426,0.0006841182708740235,1.087418749383177e-05,1000.0,{'model__alpha': 1000.0},-2.1185161572553937,-44.14587881559083,-466.37619057542946,-383.901893928854,-94.67281376750363,-198.24305864892668,189.36850433964318,6,-6.920620590235367,-5.121270431079463,-24.553868651836694,-217.30051870833432,-248.7164634229518,-100.52254836088753,108.84162423416025
