feature,VIF
btc_blocks_size,9049.18993948628
btc_n_transactions_total,9036.116336301597
btc_market_cap,259.80932382891837
btc_miners_revenue,249.20478503313208
btc_difficulty,231.03703480539738
btc_n_transactions,216.27825885652712
btc_hash_rate,159.77390354366455
btc_n_transactions_excluding_popular,131.72034820917816
btc_n_transactions_excluding_chains_longer_than_100,103.19196021960293
btc_n_unique_addresses,97.44263953052663
btc_avg_block_size,53.835043072193216
btc_n_transactions_per_block,49.76060134524423
btc_estimated_transaction_volume_usd,24.765379633741013
btc_cost_per_transaction,13.025633830473726
btc_total_bitcoins,12.939901965808511
btc_transaction_fees,7.930069866714511
btc_trade_volume,5.975628679615543
btc_median_confirmation_time,2.577514111844879
btc_n_orphaned_blocks,1.3530737346616282
btc_output_volume,1.294229063085808
